5, 34, 26, 34, 34
6, 36, 31, 36, 36
7, 119, 85, 119, 119
8, 115, 108, 115, 115
9, 147, 105, 147, 147
10, 216, 204, 217, 217
11, 176, 152, 179, 170
12, 242, 216, 250, 229
13, 274, 252, 278, 273
14, 384, 350, 412, 357
15, 387, 323, 387, 376
11, 222, 168, 225, 225
12, 261, 197, 261, 248
13, 439, 357, 440, 412
14, 399, 336, 399, 393
15, 375, 315, 378, 365
11, 168, 167, 192, 182
13, 377, 349, 381, 353
14, 449, 339, 452, 447
15, 432, 378, 464, 425
11, 144, 120, 146, 146
13, 289, 233, 298, 289
14, 366, 348, 372, 369
15, 410, 334, 434, 409
11, 237, 217, 257, 242
12, 294, 208, 296, 292
12, 254, 230, 255, 254
15, 446, 365, 450, 436
12, 330, 285, 332, 324
15, 491, 387, 491, 471
12, 266, 255, 266, 266
15, 392, 349, 394, 391
12, 200, 193, 233, 228
15, 465, 393, 469, 459
12, 227, 207, 229, 225
15, 509, 486, 512, 505
12, 239, 218, 245, 243
